sira;platform;kategori;saglayici_servis_id;hizmet_adi;saglayici_orijinal_adi;min_adet;max_adet;gunluk_hiz;1000_adet_kac_gun;max_uyarisi;garanti_gun;maliyet_usd_1000;maliyet_try_1000;kar_marji_yuzde;satis_fiyati_try_1000;kar_try_1000
73;TikTok;Takipçi;6f108a66-1a4c-4775-ab73-ffda422f78f9;TikTok Brezilya 🇧🇷 Takipçi [Max 10M | 30 Gün Garantili | Hızlı | 30K–50K/gün];TikTok Followers [𝐁𝐫𝐚𝐳𝐢𝐥] [30-50k/Day] [0-3 Hour] [30 Days Guarantee] [Budget 💰];10;10000000;30K–50K/gün;1;Max ulaşılamaz (334 gün);30;0.1728;8.29;200;24.90;16.61
74;TikTok;Yorum;f3f0ba1b-a34d-4bf2-818d-6a0c4d9fb841;TikTok Yorum [Max 100K | 365 Gün Garantili | Gerçek Hesap];TikTok [Custom Comments] [Real Mixd Users] [Non Drop] [365 Days Refill] [Budget 💰];5;100000;;;;365;0.1845;8.86;200;26.60;17.74
75;TikTok;Takipçi;d511bb88-a186-45b7-b96c-a26407859c32;TikTok Takipçi [Max 2K | 30 Gün Garantili | Gerçek Hesap | Anında | 1K–50K/gün];TikTok - Followers ~ 10M ~ 1k-50k/days ~ INSTANT [Premium ⚡];50;2000;1K–50K/gün;1;;30;0.2621;12.58;200;37.70;25.12
76;TikTok;Takipçi;b1a6c455-990a-48dc-8f8f-ddb9d6e08446;TikTok Takipçi [Max 500K | 30 Gün Garantili | Gerçek Hesap | 10K–20K/gün];Tiktok Followers [10-20k Speed Per Day] [HQ] [30 Days Refill] [Budget 💰];20;500000;10K–20K/gün;1;;30;0.3193;15.33;200;46.00;30.67
77;TikTok;Beğeni;c0c66be3-da18-4033-95e1-c06d5ff0d422;TikTok Türkiye 🇹🇷 Beğeni [Max 20K | Garantisiz | Gerçek Hesap | 10K–15K/gün];TikTok Likes [Turkey 🇹🇷] [15K MAX] [HQ] [10-15K/D]NR [Budget 💰];10;20000;10K–15K/gün;1;;0;0.3660;17.57;200;52.70;35.13
78;TikTok;Takipçi;7f1d51a8-224b-4150-ae3f-6848ba3baca2;TikTok ABD 🇺🇸 Takipçi [Max 10K | 30 Gün Garantili | Gerçek Hesap | 10K/gün];🇺🇸 TikTok Followers [ 00% USA] [Max 10K] [Real Accounts With Posts] [10K/d] [30 Days Refill] [Budget 💰];100;10000;10K/gün;1;;30;0.3888;18.66;200;56.00;37.34
79;TikTok;Yorum;866ac927-5bdc-4671-8dce-a3c47a7fc5a1;TikTok Arap 🇸🇦 Yorum [Max 1K | Garantisiz | Gerçek Hesap];TikTok Arab Comments | 100 Comments from Real Arab Gulf Accounts [Budget 💰];1000;1000;;;;0;0.4068;19.53;200;58.60;39.07
80;TikTok;Takipçi;1b4bbaed-28ad-4809-b689-8498be493982;TikTok Takipçi [Max 100M | 30 Gün Garantili | Gerçek Hesap | Anında | 1K–10K/gün];TikTok - Followers ~ Max 1M ~ 𝗥𝗘𝗙𝗜𝗟𝗟 30D ~ 1k-10k/days ~ INSTANT [Premium ⚡];10;100000000;1K–10K/gün;1;Max ulaşılamaz (100.000 gün);30;0.4867;23.36;200;70.10;46.74
81;TikTok;Takipçi;dd7cf9fe-93d4-4b7b-b7cb-f6c16509b134;TikTok Türkiye 🇹🇷 Takipçi [Max 100K | Garantisiz | Anında | 120K–240K/gün];🇹🇷 🎶 TikTok Turkish Followers | Max 100K | Turkish User | Instant | Stable | 5K-10K Per Hour [Budget 💰];10;100000;120K–240K/gün;1;;0;0.5119;24.57;130;56.50;31.93
82;TikTok;Takipçi;d444d23e-b4e0-4369-b3e6-781a4215f4c9;TikTok Takipçi [Max 1M | 30 Gün Garantili | Gerçek Hesap | Anında];TikTok - Followers ~ %100 Real Profiles ~ 𝗥𝗘𝗙𝗜𝗟𝗟 30D ~ 10k-20k ~ INSTANT [Premium ⚡];10;1000000;;;;30;0.6521;31.30;130;72.00;40.70
83;TikTok;Takipçi;d127fc1e-c313-44cd-947a-5ffc23bf200d;TikTok Takipçi [Max 100K | 30 Gün Garantili | Gerçek Hesap | Anında | 1K–10K/gün];TikTok - Followers ~ Max 100k ~ 𝗥𝗘𝗙𝗜𝗟𝗟 30D ~ 1k-10k/days ~ INSTANT [Premium ⚡];10;100000;1K–10K/gün;1;Max ulaşılamaz (100 gün);30;0.9270;44.50;130;102.00;57.50
84;TikTok;Beğeni;589f2441-00f5-4aa9-b455-fd3e8cad4073;TikTok Beğeni [Max 20K | Düşüş Yok | Gerçek Hesap | 1K–10K/gün];Tiktok VIews + Likes [Real Seo] [Non Drop] [1-10k Speed Per Day] [Budget 💰];100;20000;1K–10K/gün;1;;0;1.1532;55.35;130;127.00;71.65
85;TikTok;Takipçi;18b7e29b-30ae-4a08-bb32-06d2de9cb054;TikTok Takipçi [Max 160K | 30 Gün Garantili | Gerçek Hesap | 250–500/gün];TikTok - Followers ~ Max 160k ~ 𝗥𝗘𝗙𝗜𝗟𝗟 30D ~ 250-500/days ~ Russian/Ukraine [Premium ⚡];50;160000;250–500/gün;4;Max ulaşılamaz (640 gün);30;1.9500;93.60;130;215.00;121.40
86;TikTok;Yorum;086bf330-8d06-4878-be82-71b4f005a9cb;TikTok Yorum [Max 5K | Garantisiz | Gerçek Hesap | Anında];TikTok - Comments ~ 🇳🇬 Nigeria ~ INSTANT [Premium ⚡];50;5000;;;;0;7.5000;360.00;55;558.00;198.00
87;TikTok;Canlı Yayın Beğeni;680542fa-0db1-4323-be22-1e2b9bde1944;TikTok Canlı Yayın Beğeni [Max 1M | Garantisiz | Gerçek Hesap | Anında | 1K–10K/gün];TikTok - Live Likes ( + PK battle points ) ~ 1k-10k/days ~ INSTANT [Premium ⚡];5;1000000;1K–10K/gün;1;Max ulaşılamaz (1.000 gün);0;30.0000;1440.00;55;2232.00;792.00
88;YouTube;Dinlenme;2d218314-092b-4ae1-9e7f-65304b41120c;YouTube Dinlenme [Max 50K | Garantisiz | Anında];YouTube Live Stream [ Max 50K ] | Instant Start | 15 Minutes [Budget 💰];10;50000;;;;0;0.0067;0.32;500;1.93;1.61
89;YouTube;Paylaşım;25995692-fdc0-4cd0-bcb0-9bd39806dc6b;YouTube Türkiye 🇹🇷 Paylaşım [Max 10K | 365 Gün Garantili | 10K/gün];YouTube Social Shares | 🇹🇷 Turkey 🇹🇷 | 💧 Non-Drop | 🚀 Speed 10K Per Day | ♻️ Lifetime Refill [Budget 💰];100;10000;10K/gün;1;;365;0.0278;1.33;320;5.60;4.27
90;YouTube;Paylaşım;800329e7-45fb-4bdc-852c-95b23cdf4262;YouTube Paylaşım [Max 100K | 365 Gün Garantili | 250K/gün];YouTube Social Shares | ⭐ Facebook | 💧 Non-Drop | 🚀 Speed 250K Per Day | ♻️ Lifetime Refill [Budget 💰];100;100000;250K/gün;1;;365;0.0278;1.33;320;5.60;4.27
91;YouTube;İzlenme;bcb658ce-5a3e-4827-b70c-896f7ed940df;YouTube İzlenme [Max 50K | Garantisiz | Gerçek Hesap | Anında];Youtube - Views ~ [ 𝟮𝟬-𝟱𝟬% 𝗖𝗼𝗻𝗰𝘂𝗿𝗿𝗲𝗻𝘁 𝗙𝗼𝗿 𝟭𝟬-𝟭𝟱 𝗺𝗶𝗻𝘂𝘁𝗲𝘀 ] ~ INSTANT [Premium ⚡];50;50000;;;;0;0.0300;1.44;320;6.05;4.61
92;YouTube;Canlı Yayın Beğeni;c91405c8-e309-42ec-a6c5-a83b499d54d1;YouTube Canlı Yayın Beğeni [Max 100K | 30 Gün Garantili | Anında];Youtube Live Stream Likes [ Super Fast ] [Non Drop ] [Instant] [30 Days Refill] [Budget 💰];10;100000;;;;30;0.0576;2.76;320;11.60;8.84
93;YouTube;Canlı Yayın Beğeni;efb881ec-cfd5-4a8b-8d16-4882970fb181;YouTube Canlı Yayın Beğeni [Max 100K | 365 Gün Garantili | Anında];Youtube Live Stream Likes [ Super Fast ] [Non Drop ] [Instant] [365 Days Refill] [Budget 💰];10;100000;;;;365;0.0615;2.95;320;12.40;9.45
94;YouTube;Beğeni;565062ee-4edd-4c62-9ab7-c84ccc0e456b;YouTube Beğeni [Max 100K | 30 Gün Garantili];YouTube Likes [Cheapest] [S2] 30 Days Refill [Budget 💰];10;100000;;;;30;0.0695;3.34;320;14.00;10.66
95;YouTube;İzlenme;677c0cb9-4d3f-42c0-9412-e903676a2972;YouTube İzlenme [Max 3M | 30 Gün Garantili | Anında | 120K/gün];Youtube Views [5k Per Hour] [0-30 Min] [NON DROP] [30 Days Refill] [Budget 💰];100;3000000;120K/gün;1;;30;0.0702;3.37;320;14.20;10.83
96;YouTube;İzlenme;65e08306-fd5a-436f-9b61-98b232836eb9;YouTube İzlenme [Max 250K | 365 Gün Garantili | Hızlı | 10K/gün];Youtube Views [10k Speed] [0-3 Hour Start] [Non Drop] [365 Days Refill] [Budget 💰];100;250000;10K/gün;1;;365;0.1045;5.02;200;15.00;9.98
97;YouTube;İzlenme;044396c7-e139-44bb-b591-e9a425913332;YouTube İzlenme [Max 3M | 365 Gün Garantili | 100K–200K/gün];Youtube Short Views [Max 3M] [Lifetime Guarantee] [100-200k/day Speed] [Budget 💰];100;3000000;100K–200K/gün;1;;365;0.1303;6.25;200;18.80;12.55
98;YouTube;İzlenme;80768b6d-ce9c-4ba7-821d-121a149dd556;YouTube İzlenme [Max 100M | 365 Gün Garantili | Gerçek Hesap | Hızlı | 200K/gün];YouTube - Views ~ Native Social Ads ~ Min 3k ~ Lifetime ~ 200k+/day ~ 0-3hrs [Premium ⚡];1000;100000000;200K/gün;1;Max ulaşılamaz (500 gün);365;0.2808;13.48;200;40.40;26.92
99;YouTube;Beğeni;92088e01-e80a-48b5-a485-645a36f15362;YouTube Beğeni [Max 50K | 30 Gün Garantili | Anında | 10K/gün];YouTube Likes [10k Speed] [Instant] 30 Days Refill [Budget 💰];10;50000;10K/gün;1;;30;0.3936;18.89;200;56.70;37.81
100;YouTube;İzlenme;290e9e39-6ad5-4d9f-89a3-1768b8a42c65;YouTube Türkiye 🇹🇷 İzlenme [Max 100K | Garantisiz | Gerçek Hesap];🇹🇷 YouTube Unique Views - Turkey [RAV-GS™ - Real & Active Views] [Budget 💰];500;100000;;;;0;0.3953;18.97;200;56.90;37.93
101;YouTube;İzlenme;d067e05f-2907-4e16-a782-c2058c46ebd9;YouTube İzlenme [Max 100K | 365 Gün Garantili | 1K–10K/gün];Youtube Native Views [Australia] [Min 1k] [Speed: 1-10k/D] [Non Drop] [Lifetime Refill] [Budget 💰];1000;100000;1K–10K/gün;1;Max ulaşılamaz (100 gün);365;0.4320;20.74;200;62.20;41.46
102;YouTube;İzlenme;33a94fff-08ac-4807-ad61-d1c23e8354be;YouTube İzlenme [Max 100K | 60 Gün Garantili | Gerçek Hesap];YouTube Views [Monetizable] [Real Views] [🇨🇦 Canada] [60 Days Refill] [Budget 💰];1000;100000;;;;60;0.4374;21.00;200;63.00;42.00
103;YouTube;Otomatik Etkileşim;daa778e7-3c1e-40b6-83a5-fb9d36bfa008;YouTube Otomatik Etkileşim [Max 2K | 30 Gün Garantili | 1K/gün];YouTube Comments [Created by AI] [Auto Generate Comments Based on Video Content and Video Title] [1K/day] [30 days Refill] [Budget 💰];1000;2000;1K/gün;1;;30;0.4500;21.60;200;64.80;43.20
104;YouTube;Beğeni;bacdfe55-50c8-4712-a0dc-37248af33512;YouTube Türkiye 🇹🇷 Beğeni [Max 100K | 365 Gün Garantili | Hızlı | 20K/gün];Youtube Likes [Lifetime Guaranteed] [Max: 20K] [Start Time: 1 Hour] [Speed: 20K/Day] TURKEY 🇨🇳 ♻️ [Budget 💰];10;100000;20K/gün;1;;365;0.5316;25.52;130;58.70;33.18
105;YouTube;Beğeni;a37121c3-9879-43eb-b212-72a30ca7b849;YouTube Beğeni [Max 100K | 365 Gün Garantili | Hızlı | 20K/gün];Youtube Likes [Lifetime Guaranteed] [Max: 20K] [Start Time: 1 Hour] [Speed: 20K/Day] ROMANIA 🇷🇴 ♻️ [Budget 💰];10;100000;20K/gün;1;;365;0.5316;25.52;130;58.70;33.18
106;YouTube;Beğeni;448b34f6-34ff-4f5a-b612-5f9c5c59a924;YouTube Hindistan 🇮🇳 Beğeni [Max 100K | 30 Gün Garantili];Youtube Likes [Indian] [Non Drop] [100k Max] [30 Days Refill] [Budget 💰];200;100000;;;;30;0.6000;28.80;130;66.20;37.40
107;YouTube;İzlenme;17e5b5d0-cb69-4b80-b43a-a0eba34ea3c9;YouTube İzlenme [Max 1M | 365 Gün Garantili | 1K–10K/gün];Youtube Native Views [Norway] [Min 1k] [Speed: 1-10k/D] [Non Drop] [Lifetime Refill] [Budget 💰];1000;1000000;1K–10K/gün;1;Max ulaşılamaz (1.000 gün);365;0.6912;33.18;130;76.30;43.12
108;YouTube;İzlenme;7b531592-ea03-411c-9b09-3235d39e8fe5;YouTube Türkiye 🇹🇷 İzlenme [Max 100K | Garantisiz | Gerçek Hesap];Youtube - Views | RAV™ - Real Active Views - TR - Turkey [Premium ⚡];500;100000;;;;0;0.8400;40.32;130;92.70;52.38
109;YouTube;Beğeni;c517f5db-5ff0-4a75-9aee-86abeff44cee;YouTube Beğeni [Max 100K | 365 Gün Garantili | Hızlı | 20K/gün];Youtube Likes [Lifetime Guaranteed] [Max: 20K] [Start Time: 1 Hour] [Speed: 20K/Day] VIETNAM 🇻🇳 ♻️ [Budget 💰];10;100000;20K/gün;1;;365;0.9621;46.18;130;106.00;59.82
110;YouTube;Abone;862f0c70-73db-47df-a99e-1b93e8beebbe;YouTube Abone [Max 50K | 30 Gün Garantili | Hızlı | 100–300/gün];Youtube Subscribers [0-12 Hour] [100-300 Speed] [30 Days Refill] [Budget 💰];100;50000;100–300/gün;10;Max ulaşılamaz (500 gün);30;2.1000;100.80;85;186.00;85.20
111;YouTube;Abone;d43d2072-2da5-4ab9-92e1-1e1351f93130;YouTube Abone [Max 20K | 30 Gün Garantili | 50/gün];Youtube Subscribers [Max 100k] [Speed 50/Day] [Refill 30 Days] [Budget 💰];100;20000;50/gün;20;Max ulaşılamaz (400 gün);30;2.1060;101.09;85;187.00;85.91
112;YouTube;Abone;32882608-5d7f-44e4-9919-62d248c02962;YouTube Abone [Max 50K | Düşüş Yok | 200–300/gün];Youtube Subscribers [Working After Update] [200-300+/Day] [Non Drop] [30 Days] [Budget 💰];100;50000;200–300/gün;5;Max ulaşılamaz (250 gün);0;2.7600;132.48;85;245.00;112.52
113;YouTube;Abone;b2c98d40-99b8-48db-97f8-b30a564de690;YouTube Abone [Max 100K | 30 Gün Garantili | 300–500/gün];Youtube Subscribers [Max 100k] [Speed 300-500/Day] [Refill 30 Days] [Budget 💰];50;100000;300–500/gün;4;Max ulaşılamaz (334 gün);30;3.2760;157.25;85;291.00;133.75
114;YouTube;Yorum;54df6244-1243-45d5-88e5-ce233ced4e5a;YouTube Türkiye 🇹🇷 Yorum [Max 5K | 30 Gün Garantili | Hızlı | 1K/gün];🇹🇷YouTube TURKEY Comments [Refill: 30 Days] [Max: 5K] [Start Time: 1 Hour] [Speed: 1K/Day] ♻️ [Budget 💰];10;5000;1K/gün;1;;30;3.6000;172.80;85;320.00;147.20
115;YouTube;Yorum;4f250286-7676-43ed-b693-001913daef46;YouTube Arap 🇸🇦 Yorum [Max 500 | 30 Gün Garantili | Hızlı | 100/gün];YouTube ARAB Comments [Refill: 30 Days] [Max: 500] [Start Time: 1 Hour] [Speed: 100/Day] ♻️ [Budget 💰];10;500;100/gün;10;;30;3.6000;172.80;85;320.00;147.20
116;YouTube;Abone;92a16673-da15-4c91-85a3-276e9c1b228d;YouTube Abone [Max 50K | Garantisiz | Gerçek Hesap | Hızlı | 200–500/gün];YouTube - Subscriber ~ 50k ~ 𝗥𝗘𝗙𝗜𝗟𝗟 30D ~ 200-500/days ~ 0-1hrs [Premium ⚡];100;50000;200–500/gün;5;Max ulaşılamaz (250 gün);0;4.6800;224.64;85;416.00;191.36
117;YouTube;Yorum;161e6340-aa97-4241-a878-c8a490fda31c;YouTube ABD 🇺🇸 Yorum [Max 200 | 30 Gün Garantili | Gerçek Hesap | Hızlı];Youtube USA HQ Custom Comment Reply [Refill: 30 Days] [Max: 1500] [Start Time: 0-1 Hour] [Speed: 1/160 Seconds]⚡ ♻️ [Budget 💰];10;200;;;;30;13.5000;648.00;55;1004.00;356.00
118;Telegram;İzlenme;40e4b819-90f9-4387-aad6-9e359927e8e6;Telegram İzlenme [Max 60K | Garantisiz];Telegram Post Views [1 Post] [Enter Post Link] [Budget 💰];10;60000;;;;0;0.0002;0.01;500;0.06;0.05
119;Telegram;Reaksiyon;a9f60178-07e4-42c3-bbba-9063592cb23e;Telegram Reaksiyon [Max 200K | Garantisiz];Reaction⚡️ [Budget 💰];10;200000;;;;0;0.0015;0.07;500;0.43;0.36
120;Telegram;Reaksiyon;99b35b15-7dcf-41b4-a430-dc8a5f205d3d;Telegram Reaksiyon [Max 200K | Garantisiz | 10K–50K/gün];Telegram Reaction🤗 [10-50k/ day] [No Refill] [Budget 💰];10;200000;10K–50K/gün;1;;0;0.0015;0.07;500;0.43;0.36
121;Telegram;Reaksiyon;ffb6cf04-634e-478f-b351-51bf31729d70;Telegram Reaksiyon [Max 50K | Garantisiz | Anında];Telegram Post Reactions + Views | 🦄React | 🔥Instant Start [Budget 💰];10;50000;;;;0;0.0036;0.17;500;1.04;0.87
122;Telegram;Paylaşım;db829ad4-c224-43bd-b543-0f13eaa3414f;Telegram Türkiye 🇹🇷 Paylaşım [Max 100K | Garantisiz | Gerçek Hesap];🇹🇷 Telegram - Turkey Post Share + View [HQ 𝐒𝐓𝐀𝐓𝐈𝐂📊] [Premium ⚡];10;100000;;;;0;0.0132;0.63;500;3.80;3.17
123;Telegram;İzlenme;3abc148f-0df7-43d8-942a-538f9f86685e;Telegram İzlenme [Max 1M | Garantisiz | Bot Hesap];Telegram Post Views [Last 10 Post] [Premium ⚡];10;1000000;;;;0;0.0210;1.01;320;4.23;3.22
124;Telegram;Kanal Üyesi;62d4e86f-7a76-4975-a4bc-602eeb23c03e;Telegram Kanal Üyesi [Max 50K | 30 Gün Garantili | Anında | 20K/gün];Telegram Member [20k+/Day] [0-30 Min] [50k Max] [NON DROP] [30 Days Refill] [Budget 💰];500;50000;20K/gün;1;;30;0.0234;1.12;320;4.72;3.60
125;Telegram;Oy;7acd15d1-1d0b-49f7-af56-40b999926ca8;Telegram Oy [Max 100K | Garantisiz | Anında];Telegram Poll & Votes [INSTANT] [300K MAX] [Budget 💰];10;100000;;;;0;0.0284;1.36;320;5.73;4.37
126;Telegram;Kanal Üyesi;bf8dd7ca-91f4-4cc0-9683-bc4f8d1d1039;Telegram Kanal Üyesi [Max 100K | 30 Gün Garantili | 10K/gün];Telegram Member [10k+/Day] [100k Max] [NON DROP] [30 Days Refill] [Budget 💰];500;100000;10K/gün;1;;30;0.0878;4.21;320;17.70;13.49
127;Telegram;Kanal Üyesi;f957c95f-b26a-4bd0-b954-a6dbd94708da;Telegram Kanal Üyesi [Max 500K | 365 Gün Garantili | 100K/gün];Telegram Members [No Drop] [365 Days Refill] [100K/Day] [Budget 💰];200;500000;100K/gün;1;;365;0.1642;7.88;200;23.60;15.72
128;Telegram;Yorum;1066feb0-141c-43f5-803e-4452c9ceefc6;Telegram Türkiye 🇹🇷 Yorum [Max 200K | Garantisiz | Bot Hesap];Telegram - Comments - [Turkey] [Premium ⚡];10;200000;;;;0;0.4590;22.03;200;66.10;44.07
129;Telegram;Kanal Üyesi;810c5c33-1d76-4e44-ad3e-505dc28db754;Telegram Kanal Üyesi [Max 12K | 7 Gün Garantili | Gerçek Hesap | Anında];Telegram Pemium Members + Views | 7 Days Premium Members | Best For Search Optimize | Instant |7 Days Refill [Budget 💰];20;12000;;;;7;0.6442;30.92;130;71.10;40.18
130;Telegram;Reaksiyon;cbcb5742-5cf6-4210-828e-43d209ec3ad2;Telegram Reaksiyon [Max 50K | Düşüş Yok | Gerçek Hesap | Anında];Premium Positive👍❤️🔥😁 - Include Static - Best For Search Optimize - Instant - [Non Drop - NoRefill] [Budget 💰];10;50000;;;;0;0.7380;35.42;130;81.50;46.08
131;Telegram;Yorum;dbb0323f-9552-4d52-88da-f5172a13e690;Telegram Türkiye 🇹🇷 Yorum [Max 3K | Garantisiz];Random Telegram Comments + Views 🇹🇷 [Budget 💰];15;3000;;;;0;1.3680;65.66;130;151.00;85.34
132;Telegram;Kanal Üyesi;8f3373e4-00ad-4216-8fb6-ba20641f8a90;Telegram Türkiye 🇹🇷 Kanal Üyesi [Max 20K | Garantisiz | Gerçek Hesap];Telegram Members - [Natural account from Turkey] [Premium ⚡];1;20000;;;;0;2.7000;129.60;85;240.00;110.40
133;Telegram;Kanal Üyesi;a1649a60-c80d-4a6e-b079-36c60d1bffbe;Telegram Türkiye 🇹🇷 Kanal Üyesi [Max 5K | Garantisiz | Gerçek Hesap];⭐️🇹🇷Turkey Telegram 𝗣𝗿𝗲𝗺𝗶𝘂𝗺 members [Join From Search + Views From Followers] [1 Year Premium] [Budget 💰];10;5000;;;;0;4.3920;210.82;85;390.00;179.18
134;Telegram;Kanal Üyesi;c35dc9d3-6c74-4cf3-9810-ea591e0647f9;Telegram Türkiye 🇹🇷 Kanal Üyesi [Max 5K | Garantisiz | Gerçek Hesap];⭐️🇹🇷Turkey Telegram Premium members [Join From URL + Views From Followers] [1 Year Premium] [Budget 💰];10;5000;;;;0;4.3920;210.82;85;390.00;179.18
135;Telegram;Otomatik Etkileşim;4307a012-c59d-4383-9de1-ff17ec8adab2;Telegram Otomatik Etkileşim [Max 2M | Garantisiz];Telegram Auto Post View [No Post Limit] [R30 Days] [Budget 💰];500;2000000;;;;0;4.5698;219.35;85;406.00;186.65
136;Telegram;Kanal Üyesi;b8cedb2a-97e4-47a8-bec2-6e20dd4d8840;Telegram Kanal Üyesi [Max 10K | 365 Gün Garantili | Gerçek Hesap];Telegram Premium Members [365 Days Premium] [New Base] [Premium ⚡];10;10000;;;;365;26.8320;1287.94;55;1996.00;708.06
137;Telegram;Yorum;609bcdd1-9383-4965-867e-539ed097a9e5;Telegram Yorum [Max 3K | Garantisiz | Gerçek Hesap];Telegram - Premium comments - [Random English positive comments] [Premium ⚡];10;3000;;;;0;121.5000;5832.00;55;9040.00;3208.00
138;Facebook;İzlenme;816fbd8c-11e2-40e6-a7b2-e6e8cd1c4e76;Facebook İzlenme [Max 218M | 30 Gün Garantili | Anında | 50K–200K/gün];Facebook Video/Reel Views [0-30 Min] [Max 100M] [50-200k/D] [30 Days Refill] [Budget 💰];100;217545811;50K–200K/gün;1;Max ulaşılamaz (4.351 gün);30;0.0053;0.25;500;1.53;1.28
139;Facebook;Paylaşım;2624142a-82a7-4da9-961b-a5d779aa72a6;Facebook Paylaşım [Max 2B | 30 Gün Garantili | Anında | 50K–100K/gün];Facebook Shares [Post/Photo] [500k Min] [INSTANT] [50-100K/D] [30 Days Refill] [Budget 💰];1000;2147483647;50K–100K/gün;1;Max ulaşılamaz (42.950 gün);30;0.0057;0.27;500;1.64;1.37
140;Facebook;İzlenme;5ca42100-3b20-4223-9e15-4580a5e3db03;Facebook İzlenme [Max 100M | 30 Gün Garantili | Anında | 30K–50K/gün];Facebook Reel Views [30-50k/D] [0-10 Min] [1M Max] [30 Days Refill] [Budget 💰];500;100000000;30K–50K/gün;1;Max ulaşılamaz (3.334 gün);30;0.0067;0.32;500;1.93;1.61
141;Facebook;Takipçi;81a0719e-4665-44a7-aa83-621862b07034;Facebook Takipçi [Max 25K | 30 Gün Garantili | 10K/gün];Facebook Profile/Page Followers [10k/day] [30 Days Refill] [Budget 💰];10;25000;10K/gün;1;;30;0.0279;1.34;320;5.62;4.28
142;Facebook;Beğeni;530bee20-cad7-45e0-a594-9c6bb1b6f642;Facebook Beğeni [Max 100K | 30 Gün Garantili | Anında | 10K–20K/gün];Facebook Post Likes [0-30 Min] [10-20k/d] [100k Max] [30 Days Refill] [Budget 💰];10;100000;10K–20K/gün;1;;30;0.0788;3.78;320;15.90;12.12
143;Facebook;Grup Üyesi;f6c1fd6a-abda-4fe1-a112-ff3924aa1134;Facebook Grup Üyesi [Max 1M | 30 Gün Garantili | Gerçek Hesap | Hızlı];Facebook Group Members [Real-Mix] [50k+Day] [0-1H] [Less Drop] [30 Days Refill] [Budget 💰];10;1000000;;;;30;0.1276;6.12;200;18.40;12.28
144;Facebook;Takipçi;2f272058-1980-49a1-916a-a646221c1f26;Facebook Takipçi [Max 1M | 365 Gün Garantili | Gerçek Hesap | Anında | 1K–100K/gün];Facebook - Page/Profile Followers ~ 𝗥𝗘𝗙𝗜𝗟𝗟 365D ~ 1k-100k/days ~ INSTANT [Premium ⚡];10;1000000;1K–100K/gün;1;Max ulaşılamaz (1.000 gün);365;0.1613;7.74;200;23.20;15.46
145;Facebook;Reaksiyon;5af41043-a6cc-4c2d-998b-e3d7b827566d;Facebook Reaksiyon [Max 10K | 30 Gün Garantili | 200–300/gün];🇯🇵 Facebook - Post React 𝐂𝐚𝐫𝐞 (🥰) - Japan - Non Drop - 200-300/Day | 30 Days Refill [Budget 💰];50;10000;200–300/gün;5;;30;0.9228;44.29;130;102.00;57.71
146;Facebook;Beğeni;fdd42ade-e00c-40f6-915f-32a77a92cf6b;Facebook Türkiye 🇹🇷 Beğeni [Max 50K | Düşüş Yok | Gerçek Hesap | 2K/gün];Facebook Worldwide Real post likes [Non-Drop][US,UA,UK,Turkey,Russia,Italy][R30][2K/Day] [Budget 💰];100;50000;2K/gün;1;;0;0.9516;45.68;130;105.00;59.32
147;Facebook;İzlenme;063d9433-c2a1-44da-a517-4d01eb99169a;Facebook İzlenme [Max 150 | 30 Gün Garantili | Hızlı | 100/gün];Facebook Page Review [Korea] [0-12 Hour] [100/Day] [Refill: 30 Days] [Budget 💰];10;150;100/gün;10;;30;1.0500;50.40;130;116.00;65.60
148;Facebook;Reaksiyon;7ed6bf77-f31c-4f0c-add9-cd20db2c626d;Facebook Türkiye 🇹🇷 Reaksiyon [Max 10K | 30 Gün Garantili | 200–300/gün];🇹🇷 Facebook - Post React 𝐖𝐨𝐰 (😯) - Turkey - Non Drop - 200-300/Day | 30 Days Refill [Budget 💰];50;10000;200–300/gün;5;;30;1.0536;50.57;130;116.00;65.43
149;Facebook;Takipçi;8ba8ab68-6aef-41ce-9717-86ce5eca2f8d;Facebook Takipçi [Max 1K | 30 Gün Garantili | 200–300/gün];🇱🇧 Facebook Page Likes - Lebanon - Non Drop - 200-300/Day | 30 Days Refill [Budget 💰];50;1000;200–300/gün;5;;30;1.3440;64.51;130;148.00;83.49
150;Facebook;Takipçi;15c49baf-c409-4070-ad0b-5b4e93c2a31c;Facebook Türkiye 🇹🇷 Takipçi [Max 10K | 30 Gün Garantili | 200–300/gün];🇹🇷 Facebook | Profile/Page - Followers - Turkey - Non Drop - 200-300/Day | 30 Days Refill [Budget 💰];50;10000;200–300/gün;5;;30;1.7124;82.20;130;189.00;106.80
151;Facebook;Takipçi;d06901bc-1745-4147-9dc9-5f0d90b26caf;Facebook Türkiye 🇹🇷 Takipçi [Max 10K | 30 Gün Garantili | 200–300/gün];🇹🇷 Facebook Page Likes - Turkey - Non Drop - 200-300/Day | 30 Days Refill [Budget 💰];50;10000;200–300/gün;5;;30;1.7124;82.20;130;189.00;106.80
152;Facebook;Takipçi;020d7f6f-2df5-43c8-b6ac-d02e77889245;Facebook Takipçi [Max 10K | 30 Gün Garantili | 200–300/gün];🇯🇵 Facebook Page Likes - Japan - Non Drop - 200-300/Day | 30 Days Refill [Budget 💰];50;10000;200–300/gün;5;;30;2.1084;101.20;85;187.00;85.80
